game,sex,type,name,average9
can2017,Ladies,FS,Kaetlyn OSMOND,-2
can2017,Ladies,FS,Kaetlyn OSMOND,2.444
can2017,Ladies,FS,Kaetlyn OSMOND,2.444
can2017,Ladies,FS,Kaetlyn OSMOND,1.556
can2017,Ladies,FS,Kaetlyn OSMOND,1.667
can2017,Ladies,FS,Kaetlyn OSMOND,2.333
can2017,Ladies,FS,Kaetlyn OSMOND,0.778
can2017,Ladies,FS,Kaetlyn OSMOND,1.778
can2017,Ladies,FS,Kaetlyn OSMOND,2.111
can2017,Ladies,FS,Kaetlyn OSMOND,2.556
can2017,Ladies,FS,Kaetlyn OSMOND,-2.889
can2017,Ladies,FS,Kaetlyn OSMOND,1.222
can2017,Ladies,FS,Maria SOTSKOVA,0
can2017,Ladies,FS,Maria SOTSKOVA,1.444
can2017,Ladies,FS,Maria SOTSKOVA,1.556
can2017,Ladies,FS,Maria SOTSKOVA,1.667
can2017,Ladies,FS,Maria SOTSKOVA,1.333
can2017,Ladies,FS,Maria SOTSKOVA,-1.111
can2017,Ladies,FS,Maria SOTSKOVA,0.222
can2017,Ladies,FS,Maria SOTSKOVA,0.667
can2017,Ladies,FS,Maria SOTSKOVA,0.667
can2017,Ladies,FS,Maria SOTSKOVA,-1
can2017,Ladies,FS,Maria SOTSKOVA,0.333
can2017,Ladies,FS,Maria SOTSKOVA,0.778
can2017,Ladies,FS,Alaine CHARTRAND,-3
can2017,Ladies,FS,Alaine CHARTRAND,-2
can2017,Ladies,FS,Alaine CHARTRAND,1
can2017,Ladies,FS,Alaine CHARTRAND,1.333
can2017,Ladies,FS,Alaine CHARTRAND,-1.333
can2017,Ladies,FS,Alaine CHARTRAND,-1.333
can2017,Ladies,FS,Alaine CHARTRAND,-3
can2017,Ladies,FS,Alaine CHARTRAND,-1.111
can2017,Ladies,FS,Alaine CHARTRAND,0.444
can2017,Ladies,FS,Alaine CHARTRAND,0.444
can2017,Ladies,FS,Alaine CHARTRAND,99
can2017,Ladies,FS,Alaine CHARTRAND,99
can2017,Ladies,FS,Larkyn AUSTMAN,-0.333
can2017,Ladies,FS,Larkyn AUSTMAN,1.333
can2017,Ladies,FS,Larkyn AUSTMAN,-0.778
can2017,Ladies,FS,Larkyn AUSTMAN,0
can2017,Ladies,FS,Larkyn AUSTMAN,0.111
can2017,Ladies,FS,Larkyn AUSTMAN,-0.222
can2017,Ladies,FS,Larkyn AUSTMAN,-0.222
can2017,Ladies,FS,Larkyn AUSTMAN,-3
can2017,Ladies,FS,Larkyn AUSTMAN,-1.111
can2017,Ladies,FS,Larkyn AUSTMAN,0
can2017,Ladies,FS,Larkyn AUSTMAN,0
can2017,Ladies,FS,Larkyn AUSTMAN,0.222
can2017,Ladies,FS,Marin HONDA,1
can2017,Ladies,FS,Marin HONDA,1.222
can2017,Ladies,FS,Marin HONDA,0.778
