game,place,sex,type,name,judgeNo,elementNo,judge,judgeName,judgeCountry,country,dif,isCompatriot,isMax,isMin,isSingleMax,isSingleMin
can2017,can,Ladies,FS,Kaetlyn OSMOND,J1,1,-3,Ms. Tanay OZKAN SILAOGLU,TUR,CAN,-1.125,0,0,1,0,1
can2017,can,Ladies,FS,Kaetlyn OSMOND,J2,1,-2,Ms. Karen HOWARD,CAN,CAN,0.000,1,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J3,1,-2,Mr. Roger GLENN,USA,CAN,0.000,0,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J4,1,-2,Mr. Massimo ORLANDINI,ITA,CAN,0.000,0,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J5,1,-2,Ms. Francoise DE RAPPARD,BEL,CAN,0.000,0,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J6,1,-1,Ms. Alison RYAN,AUS,CAN,1.125,0,1,0,1,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J7,1,-2,Ms. Ayumi KOZUKA,JPN,CAN,0.000,0,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J8,1,-2,Mr. Igor OBRAZTSOV,RUS,CAN,0.000,0,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J9,1,-2,Ms. Tae Ri LEE,KOR,CAN,0.000,0,0,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J1,2,2,Ms. Tanay OZKAN SILAOGLU,TUR,CAN,-0.500,0,0,1,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J2,2,3,Ms. Karen HOWARD,CAN,CAN,0.625,1,1,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J3,2,3,Mr. Roger GLENN,USA,CAN,0.625,0,1,0,0,0
can2017,can,Ladies,FS,Kaetlyn OSMOND,J4,2,2,Mr. Massimo ORLANDINI,ITA,CAN,-0.500,0,0,1,0,0
